기준_년분기_코드,금천구,중랑구,관악구,구로구,용산구,노원구,동작구,영등포구,동대문구,종로구,성북구,서대문구,서초구,은평구,송파구,성동구,강북구,강서구,도봉구,광진구,마포구,강동구,강남구,양천구,중구
20241,-38217382592.0,-3630338629.0,-7501796573.0,105410231768.0,108971934794.0,44956871586.0,19735942516.0,-27636220549.0,202064067904.0,21027154594.0,51881557525.0,68600371223.0,14429923763.0,35318297951.0,70649715427.0,35533367723.0,51485893600.0,33361412936.0,56330416946.0,41686349393.0,74039024896.0,9533263822.0,90892471793.0,19851809152.0,39944468364.0
20242,12830160061.0,-108070306761.0,-86621505240.0,18439795328.0,-23222854633.0,-7155633402.0,-45107581292.0,-40921827840.0,111282212991.0,-33139579681.0,-32491125067.0,-7643880779.0,-53805587793.0,-46093626720.0,18957962770.0,12898644178.0,-10794575928.0,-13897395714.0,19999520016.0,-37383118301.0,14149820233.0,-57975584021.0,106599609268.0,-27633321835.0,6039269046.0
20233,-1506037585008.0,-1487628981627.0,-1569422390828.0,-1118760279864.0,-1344226344995.0,-711458971554.0,-1121778153201.0,-1917991615140.0,-2009806332471.0,-781133827483.0,-1143538183753.0,-1095587299216.0,-1176889163930.0,-1281598261075.0,-1663414036673.0,-1013243968635.0,-1120115320451.0,-1612562695860.0,-722776110359.0,-1350747455158.0,-1575969043234.0,-1360668455152.0,-2789408399192.0,-918484387423.0,-665957850579.0
20234,-1390394208539.0,-1451543740343.0,-1568234922634.0,-1153546436164.0,-1363555723793.0,-707524599069.0,-1101941279982.0,-1854089619552.0,-2035077872456.0,-830440108994.0,-1158309529189.0,-1055547644137.0,-1189469671902.0,-1246176645348.0,-1683724455389.0,-1054700580408.0,-1101392513422.0,-1613157557113.0,-739202814851.0,-1333992456607.0,-1565741860996.0,-1318652788034.0,-2875006707359.0,-886233527981.0,-679442332992.0
