기준_년분기_코드,금천구,중랑구,관악구,구로구,용산구,노원구,동작구,영등포구,동대문구,종로구,성북구,서대문구,서초구,은평구,송파구,성동구,강북구,강서구,도봉구,광진구,마포구,강동구,강남구,양천구,중구
20241,1446930000000.0,1463910000000.0,1585460000000.0,1164610000000.0,1361380000000.0,714019000000.0,1104040000000.0,1852120000000.0,2074610000000.0,811996000000.0,1168570000000.0,1056080000000.0,1203960000000.0,1256240000000.0,1711110000000.0,1050350000000.0,1113520000000.0,1620310000000.0,742122000000.0,1333500000000.0,1565440000000.0,1330040000000.0,2871220000000.0,892120000000.0,678037000000.0
20242,1390970000000.0,1475810000000.0,1568990000000.0,1154160000000.0,1361750000000.0,707856000000.0,1102090000000.0,1853890000000.0,2114110000000.0,823456000000.0,1158670000000.0,1055810000000.0,1190400000000.0,1246920000000.0,1738500000000.0,1052420000000.0,1102140000000.0,1613770000000.0,739393000000.0,1333720000000.0,1565600000000.0,1319520000000.0,2872430000000.0,886804000000.0,678633000000.0
20243,1446360000000.0,1487280000000.0,1584740000000.0,1164030000000.0,1361690000000.0,713705000000.0,1103900000000.0,1852300000000.0,2153590000000.0,816336000000.0,1168220000000.0,1055950000000.0,1203090000000.0,1255560000000.0,1765890000000.0,1051440000000.0,1112820000000.0,1619750000000.0,741945000000.0,1333620000000.0,1565520000000.0,1329230000000.0,2872040000000.0,891604000000.0,678380000000.0
20244,1391530000000.0,1498330000000.0,1569680000000.0,1154710000000.0,1361700000000.0,708154000000.0,1102220000000.0,1853730000000.0,2193040000000.0,820759000000.0,1159000000000.0,1055880000000.0,1191220000000.0,1247550000000.0,1793280000000.0,1051900000000.0,1102800000000.0,1614280000000.0,739559000000.0,1333670000000.0,1565560000000.0,1320270000000.0,2872170000000.0,887270000000.0,678487000000.0
