기준_년분기_코드,업종,상권_코드,남성_매출_건수,여성_매출_건수
20192,판매업,송파구,15470210,14618085
20192,판매업,양천구,8997920,8034806
20192,판매업,영등포구,20780730,18358091
20192,판매업,용산구,12236707,11240890
20192,판매업,은평구,14384978,14459106
20192,판매업,종로구,8103610,7544753
20192,판매업,중구,6450454,6287199
20192,판매업,중랑구,15957025,16204225
20193,요식업,강남구,11423766,11049301
20193,요식업,강동구,7091940,6169958
20193,요식업,강북구,4944654,4326705
20193,요식업,강서구,7921927,7197656
20193,요식업,관악구,10149935,8146974
20193,요식업,광진구,7167466,6029537
20193,요식업,구로구,5361161,4373255
20193,요식업,금천구,3667496,3018063
20193,요식업,노원구,4347369,3660447
20193,요식업,도봉구,2886757,2579991
20193,요식업,동대문구,7435049,6342680
20193,요식업,동작구,6878901,6167487
20193,요식업,마포구,8428653,9227023
20193,요식업,서대문구,5497073,5911277
20193,요식업,서초구,5111268,4716036
20193,요식업,성동구,5014861,3909837
20193,요식업,성북구,7456264,7735992
20193,요식업,송파구,6796094,6004364
20193,요식업,양천구,4369432,3694569
20193,요식업,영등포구,7763978,6683465
20193,요식업,용산구,7327923,7285114
20193,요식업,은평구,6178192,5955447
20193,요식업,종로구,4406421,5133169
20193,요식업,중구,3676826,3578408
20193,요식업,중랑구,7081769,6097388
20193,서비스업,강남구,2469657,2263319
20193,서비스업,강동구,4008340,2915805
20193,서비스업,강북구,2829575,2516319
20193,서비스업,강서구,4343771,3756710
20193,서비스업,관악구,6619955,4371050
20193,서비스업,광진구,3334451,2934155
20193,서비스업,구로구,3554910,2973466
20193,서비스업,금천구,2781491,2199955
20193,서비스업,노원구,2049487,1559418
20193,서비스업,도봉구,1872676,1888888
20193,서비스업,동대문구,3180372,2080234
20193,서비스업,동작구,3492448,2919888
20193,서비스업,마포구,2242809,2507986
20193,서비스업,서대문구,1911590,1783428
20193,서비스업,서초구,1734860,1519590
20193,서비스업,성동구,4548870,1946772
20193,서비스업,성북구,4305932,3879089
20193,서비스업,송파구,4016518,3007808
20193,서비스업,양천구,2563025,2235280
20193,서비스업,영등포구,2783110,2176022
20193,서비스업,용산구,1422597,1413945
20193,서비스업,은평구,3701141,3020795
20193,서비스업,종로구,918561,681560
20193,서비스업,중구,917776,817152
20193,서비스업,중랑구,4832597,3897151
20193,판매업,강남구,21946969,20684063
20193,판매업,강동구,13742020,12774085
20193,판매업,강북구,12165947,11410547
20193,판매업,강서구,19416198,17869923
20193,판매업,관악구,22364507,20157544
20193,판매업,광진구,16708113,14238495
20193,판매업,구로구,14257225,11892700
20193,판매업,금천구,12332464,11437262
20193,판매업,노원구,6871776,5992101
20193,판매업,도봉구,8584728,7825563
20193,판매업,동대문구,17968725,15271745
20193,판매업,동작구,13271956,12738083
20193,판매업,마포구,16628080,18774194
20193,판매업,서대문구,10118593,9947146
20193,판매업,서초구,7642754,7190181
20193,판매업,성동구,23185669,29903847
20193,판매업,성북구,12807633,11891651
20193,판매업,송파구,15441489,13925708
20193,판매업,양천구,9492514,8313778
20193,판매업,영등포구,21816057,19104756
20193,판매업,용산구,12969921,11390174
20193,판매업,은평구,15015177,14538574
20193,판매업,종로구,8354419,7543407
20193,판매업,중구,6522171,6140733
20193,판매업,중랑구,16647489,16600123
20194,요식업,강남구,11580338,10955341
20194,요식업,강동구,7428086,6275531
20194,요식업,강북구,5076510,4459047
20194,요식업,강서구,8258815,7415278
20194,요식업,관악구,10574608,8538477
20194,요식업,광진구,7802355,6658119
20194,요식업,구로구,5447408,4447334
20194,요식업,금천구,3697116,2995425
20194,요식업,노원구,4727377,3991100
20194,요식업,도봉구,2954824,2680532
20194,요식업,동대문구,8132620,7112983
20194,요식업,동작구,7346487,6612679
20194,요식업,마포구,8798951,10007632
20194,요식업,서대문구,5835026,6479711
20194,요식업,서초구,5355819,4930347
20194,요식업,성동구,5204405,4145132
20194,요식업,성북구,8204465,8871733
20194,요식업,송파구,7030270,6028711
20194,요식업,양천구,4401962,3700080
20194,요식업,영등포구,7925506,6671518
20194,요식업,용산구,7667598,8184076
20194,요식업,은평구,6286040,5946219
20194,요식업,종로구,4656626,5368875
20194,요식업,중구,3951814,3856407
20194,요식업,중랑구,7240465,6197941
20194,서비스업,강남구,2509237,2336660
20194,서비스업,강동구,4158383,3103755
20194,서비스업,강북구,3007397,2794181
20194,서비스업,강서구,4799598,4240176
20194,서비스업,관악구,6956427,4729662
20194,서비스업,광진구,3935081,3393249
20194,서비스업,구로구,3935112,3380634
20194,서비스업,금천구,2875728,2486699
20194,서비스업,노원구,2234165,1824137
20194,서비스업,도봉구,2090122,2119344
20194,서비스업,동대문구,3381893,2266581
20194,서비스업,동작구,3781902,3314322
20194,서비스업,마포구,2643392,2871965
20194,서비스업,서대문구,2095931,2025154
20194,서비스업,서초구,1934572,1690540
20194,서비스업,성동구,4942870,2110319
20194,서비스업,성북구,4716269,4473789
20194,서비스업,송파구,4334855,3368570
20194,서비스업,양천구,2794664,2542431
20194,서비스업,영등포구,2885749,2484229
20194,서비스업,용산구,1584846,1626661
20194,서비스업,은평구,3899966,3295281
20194,서비스업,종로구,967667,766096
20194,서비스업,중구,991511,885932
20194,서비스업,중랑구,5367522,4320179
20194,판매업,강남구,21335208,19823493
20194,판매업,강동구,13749621,12822728
20194,판매업,강북구,12213843,11644969
20194,판매업,강서구,19387650,17916996
20194,판매업,관악구,21634938,19806823
20194,판매업,광진구,17030521,14813362
20194,판매업,구로구,14227705,12138821
20194,판매업,금천구,12210126,11607288
20194,판매업,노원구,6972930,6104064
20194,판매업,도봉구,8554082,7914282
20194,판매업,동대문구,18398257,15989918
20194,판매업,동작구,13569993,13063161
20194,판매업,마포구,16480936,20190209
20194,판매업,서대문구,10127798,10503970
20194,판매업,서초구,7514670,7053074
20194,판매업,성동구,26176334,32605068
20194,판매업,성북구,12996247,12803928
20194,판매업,송파구,15079642,13599392
20194,판매업,양천구,9728087,8593658
20194,판매업,영등포구,20931307,18345494
20194,판매업,용산구,12651937,11250991
20194,판매업,은평구,14846404,14568651
20194,판매업,종로구,8806958,8041947
20194,판매업,중구,6426725,6290533
20194,판매업,중랑구,16580175,16691004
20201,요식업,강남구,10863197,9812041
20201,요식업,강동구,7045457,5613182
20201,요식업,강북구,4812824,3976584
20201,요식업,강서구,7676777,6625192
20201,요식업,관악구,9854587,7546502
20201,요식업,광진구,6596386,5261441
20201,요식업,구로구,4948086,3885793
20201,요식업,금천구,3381543,2624953
20201,요식업,노원구,4045075,3263497
20201,요식업,도봉구,2804705,2342437
20201,요식업,동대문구,6760809,5307235
20201,요식업,동작구,6161951,5372509
20201,요식업,마포구,7946727,8389310
20201,요식업,서대문구,5081761,5125656
20201,요식업,서초구,4916413,4249087
20201,요식업,성동구,4758903,3471597
20201,요식업,성북구,6967945,6563803
20201,요식업,송파구,6569152,5462859
20201,요식업,양천구,4134143,3362592
20201,요식업,영등포구,7090747,5691779
20201,요식업,용산구,6632834,6075549
20201,요식업,은평구,5845508,5268017
20201,요식업,종로구,3786730,4054424
20201,요식업,중구,3426964,3109716
20201,요식업,중랑구,6702017,5573447
20201,서비스업,강남구,2180900,1936430
20201,서비스업,강동구,3848409,2633252
20201,서비스업,강북구,2927386,2331638
20201,서비스업,강서구,4462417,3556824
20201,서비스업,관악구,6446642,3992345
20201,서비스업,광진구,3601080,2797847
20201,서비스업,구로구,3438871,2680150
20201,서비스업,금천구,2546390,1973871
20201,서비스업,노원구,1932066,1422402
20201,서비스업,도봉구,1830805,1779843
20201,서비스업,동대문구,2949821,1882500
20201,서비스업,동작구,3544618,2756939
20201,서비스업,마포구,2301140,2304474
20201,서비스업,서대문구,1962867,1756879
20201,서비스업,서초구,1666673,1330412
20201,서비스업,성동구,4632338,1755738
20201,서비스업,성북구,4096704,3571762
20201,서비스업,송파구,3860995,2780447
20201,서비스업,양천구,2556876,2032123
20201,서비스업,영등포구,2494913,1960080
20201,서비스업,용산구,1520692,1309389
20201,서비스업,은평구,3646828,2834832
20201,서비스업,종로구,790844,566680
20201,서비스업,중구,869741,750291
20201,서비스업,중랑구,5147759,3730157
20201,판매업,강남구,20131385,18137648
20201,판매업,강동구,14186790,13156769
20201,판매업,강북구,12328563,11529806
20201,판매업,강서구,19247849,17956819
20201,판매업,관악구,21358639,18949983
20201,판매업,광진구,16497670,13994149
20201,판매업,구로구,14106377,11806679
20201,판매업,금천구,12969483,12227776
20201,판매업,노원구,6883297,6117882
20201,판매업,도봉구,8713880,7926442
20201,판매업,동대문구,17245306,14558792
20201,판매업,동작구,13439030,12906956
20201,판매업,마포구,15301458,16799236
20201,판매업,서대문구,9742864,9731891
20201,판매업,서초구,7357708,6785198
20201,판매업,성동구,18556537,20905643
20201,판매업,성북구,12428541,11529187
20201,판매업,송파구,14686238,12675715
20201,판매업,양천구,9797625,8495667
20201,판매업,영등포구,20443253,17601631
20201,판매업,용산구,11420268,10014270
20201,판매업,은평구,14984387,14583276
20201,판매업,종로구,7157359,6122019
20201,판매업,중구,6078174,5560112
20201,판매업,중랑구,16814742,16717399
20202,요식업,강남구,11758808,10558960
20202,요식업,강동구,7895085,5994558
20202,요식업,강북구,5628865,4374615
20202,요식업,강서구,8838225,7176864
20202,요식업,관악구,11118571,8237682
20202,요식업,광진구,7511592,5861537
20202,요식업,구로구,5697297,4229396
20202,요식업,금천구,3943240,2830800
20202,요식업,노원구,4827800,3560525
20202,요식업,도봉구,3415366,2588104
20202,요식업,동대문구,8037735,6027620
20202,요식업,동작구,7105464,5968059
20202,요식업,마포구,8989889,9109447
20202,요식업,서대문구,5871257,5536387
20202,요식업,서초구,5591606,4700960
20202,요식업,성동구,5523294,3952766
20202,요식업,성북구,8377079,7609532
20202,요식업,송파구,7766750,6061380
20202,요식업,양천구,4952947,3749430
20202,요식업,영등포구,8104729,6213242
20202,요식업,용산구,6307054,5741569
20202,요식업,은평구,6915374,5926255
20202,요식업,종로구,4473211,4717696
20202,요식업,중구,3875466,3388291
20202,요식업,중랑구,8005595,6176457
20202,서비스업,강남구,2202043,1922302
20202,서비스업,강동구,3823223,2536105
20202,서비스업,강북구,2983931,2198274
20202,서비스업,강서구,4584677,3318763
20202,서비스업,관악구,6257878,3796113
20202,서비스업,광진구,3571091,2609638
20202,서비스업,구로구,3263817,2385635
20202,서비스업,금천구,2486088,1833307
20202,서비스업,노원구,1907189,1237680
20202,서비스업,도봉구,1940715,1627155
20202,서비스업,동대문구,2787090,1734843
20202,서비스업,동작구,3434371,2514304
20202,서비스업,마포구,2355023,2172673
20202,서비스업,서대문구,1987875,1676501
20202,서비스업,서초구,1672032,1322885
20202,서비스업,성동구,4512144,1611075
20202,서비스업,성북구,4060733,3111751
20202,서비스업,송파구,3969680,2728273
20202,서비스업,양천구,2775620,1923126
20202,서비스업,영등포구,2556872,1837795
20202,서비스업,용산구,1404940,1169023
20202,서비스업,은평구,3756809,2724700
20202,서비스업,종로구,744357,532906
20202,서비스업,중구,860257,683161
20202,서비스업,중랑구,5180663,3464341
20202,판매업,강남구,22513975,19410743
20202,판매업,강동구,16923322,14076756
20202,판매업,강북구,15099764,12421121
20202,판매업,강서구,22900955,18932680
20202,판매업,관악구,24824966,19836548
20202,판매업,광진구,19998608,15578832
20202,판매업,구로구,16791045,12719491
20202,판매업,금천구,15200858,12231684
20202,판매업,노원구,8095486,6451212
20202,판매업,도봉구,10632117,8277244
20202,판매업,동대문구,22594386,17032176
20202,판매업,동작구,15416485,13429449
20202,판매업,마포구,17897050,18133320
20202,판매업,서대문구,11826045,10476722
20202,판매업,서초구,8544563,7330618
20202,판매업,성동구,24050517,30512116
20202,판매업,성북구,14765083,12243301
20202,판매업,송파구,18035287,14968098
20202,판매업,양천구,11603217,8892774
20202,판매업,영등포구,23224219,18231565
20202,판매업,용산구,11946997,9815869
20202,판매업,은평구,17811923,15575903
20202,판매업,종로구,9069877,7129768
20202,판매업,중구,7109428,5895943
