기준_년분기_코드,업종,상권_코드,총 매출
20193,요식업,양천구,157735499013
20193,요식업,영등포구,307435536263
20193,요식업,용산구,362288316975
20193,요식업,은평구,254246876767
20193,요식업,종로구,206838311229
20193,요식업,중구,148911176322
20193,요식업,중랑구,306703349454
20193,서비스업,강남구,493907478674
20193,서비스업,강동구,243382303830
20193,서비스업,강북구,184752327643
20193,서비스업,강서구,305681607535
20193,서비스업,관악구,318324537532
20193,서비스업,광진구,218656140024
20193,서비스업,구로구,179872846145
20193,서비스업,금천구,149829262123
20193,서비스업,노원구,105147333470
20193,서비스업,도봉구,122292578442
20193,서비스업,동대문구,181694875746
20193,서비스업,동작구,219647372331
20193,서비스업,마포구,208753660075
20193,서비스업,서대문구,142047785375
20193,서비스업,서초구,201059855925
20193,서비스업,성동구,126161655544
20193,서비스업,성북구,218442573943
20193,서비스업,송파구,299260547903
20193,서비스업,양천구,203857817903
20193,서비스업,영등포구,190310063561
20193,서비스업,용산구,104560101103
20193,서비스업,은평구,235317105858
20193,서비스업,종로구,58661786682
20193,서비스업,중구,59968356556
20193,서비스업,중랑구,235275003963
20193,판매업,강남구,1167166310085
20193,판매업,강동구,483503500470
20193,판매업,강북구,405163391076
20193,판매업,강서구,558860716936
20193,판매업,관악구,641251983443
20193,판매업,광진구,518929318838
20193,판매업,구로구,487036109098
20193,판매업,금천구,872339987186
20193,판매업,노원구,198627434048
20193,판매업,도봉구,303815183774
20193,판매업,동대문구,852116498893
20193,판매업,동작구,393056644200
20193,판매업,마포구,525445237687
20193,판매업,서대문구,341363177398
20193,판매업,서초구,443983269084
20193,판매업,성동구,408652017465
20193,판매업,성북구,341532292506
20193,판매업,송파구,621066980678
20193,판매업,양천구,282979124874
20193,판매업,영등포구,984334298463
20193,판매업,용산구,854744598253
20193,판매업,은평구,452198827993
20193,판매업,종로구,348362110380
20193,판매업,중구,308500740400
20193,판매업,중랑구,605332810396
20194,요식업,강남구,619937000024
20194,요식업,강동구,300614647935
20194,요식업,강북구,234293218795
20194,요식업,강서구,345675934206
20194,요식업,관악구,372327711536
20194,요식업,광진구,316990389870
20194,요식업,구로구,209233595844
20194,요식업,금천구,178759029014
20194,요식업,노원구,202503973464
20194,요식업,도봉구,122107998480
20194,요식업,동대문구,305462595783
20194,요식업,동작구,268533245630
20194,요식업,마포구,414205861585
20194,요식업,서대문구,265603397253
20194,요식업,서초구,270891363634
20194,요식업,성동구,214688380168
20194,요식업,성북구,307754632586
20194,요식업,송파구,344759380925
20194,요식업,양천구,165376661782
20194,요식업,영등포구,336395995117
20194,요식업,용산구,407292432979
20194,요식업,은평구,271013046550
20194,요식업,종로구,237230343570
